models,val_split,,,,,,epoch,num_fc_1,dropout,num_fc2,dropout,fc,lr,train_acc,val_acc,online_acc,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,80,1024,0.6,,,,0.001,0.9556,0.9083,0.18,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,80,1024,0.65,,,,,0.9494,0.908,0.1792,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,40,1024,0.65,,,,,0.8961,0.8761,0.1787,,
,,,,,,,,,,,,,,,overfit,,,
0.18 0.1787  0.1783 0.1807        vote,,,,,,,,,,,,,,,,0.1739,,
,,,,,,,,,,,,,,,,,,
res101  dense121/161/169/201   inceptionv3,0.3,,,,,,30,1024,0.65,,,,,0.8642,0.8587,0.1815,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,40,1024,0.7,,,,,0.8854,0.8645,0.1773,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.7,,,,,0.9019,0.8774,0.1756,,
res101  dense121/161/169/201   inceptionv3,0.1,,,,,,50,1024,0.7,,,,,0.9052,0.8864,0.1776,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,60,1024,0.75,,,,,0.8866,0.8758,0.1763,,
,,,,,,,,,,,,,,,,,,
res101  dense121/161/169/201   inceptionv3,0.2,,,,,,65,1024,0.7,,,,,0.9247,0.8872,0.1768,,
,,,,,,,,,,,,,,,,0.1722,,
0.1745-0.1776  8ge vote ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Res101/152  dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.8,,,,,0.8863,0.8136,0.1745,,
Res101/152  dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.7,,,,,,,0.1749,,
Res101/18 dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.7,,,,,,,0.1762,,
Res101/152/50 dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.7,,,,,0.902,0.819,0.1762,,
Res101/152/50 dense121/161/169/201   inceptionv3,0.2,,,,,,50,1024,0.6,,,,,0.9272,0.8206,,,
Res101/152  dense121/161/169/201   inceptionv3 xception,0.2,,,,,,50,1024,0.8,,,,,0.9006,0.8224,0.1724,,
Res101/152  dense121/161/169/201   inceptionv3 xception,0.2,,,,,,50,1024,0.75,,,,,0.9176,0.8211,,,
Res101/152  dense121/161/169/201   inceptionv3 xception,0.2,,,,,,50,1024,0.85,,,,,0.8861,0.8216,0.1715,,
Res101/152  dense121/161/169/201   inceptionv3 xception,0.2,,,,,,60,1024,0.85,,,,,0.8796,0.8219,0.173,,
Res101/152  dense121/161/169/201   inceptionv3 xception,0.2,,,,,,50,1024,0.85,,,,0.002,,,0.1718,,
Res101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,0.2,,,,,,50,1024,0.85,,,,0.002,,,0.1718,,
Res50/101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,,,,,,,60,,0.9,,,,0.003,,,0.1726,,
Res50/101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,,,,,,,80,,0.87,,,,,0.8743,0.8256,0.1696,,
Res50/101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,,,,,,,80,,0.85,,,,,0.8908,0.8229,0.1714,,
Res50/101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,,,,,,,80,,0.85,,,,,0.8908,0.8229,0.1714,,
,,,,,,,,,,,,,,0.8864,0.8271,0.172,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,train_loss,val_loss
Res50/101/152  dense121/161/169/201   inceptionv3 xception inceptionv4,,,,,,,80,,0.87,,,,0.003,0.8837,0.9132,0.1705,0.3206,0.2362
